image_id,path,true_label,true_arabic_digit,true_shape_description,predicted_label,predicted_arabic_digit,predicted_shape_description,confidence,correct
24,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\24.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.337248,True
68,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\68.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.541173,True
79,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\79.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.551190,True
90,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\90.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.386077,True
109,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\109.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.657550,True
152,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\152.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.385071,True
214,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\214.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.739706,True
299,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\299.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.774280,True
314,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\314.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.491957,True
357,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\357.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.364175,True
367,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\367.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.489839,True
465,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\465.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.415927,True
470,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\470.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.549060,True
487,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\487.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.460657,True
528,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\528.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.534712,True
604,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\604.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.477297,True
609,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\609.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.540774,True
618,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\618.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.759069,True
638,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\638.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.580379,True
659,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\659.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.775936,True
665,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\665.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.457313,True
666,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\666.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.300574,True
702,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\702.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.466816,True
741,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\741.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.385063,True
766,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\766.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.465089,True
796,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\796.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.513156,True
834,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\834.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.575847,True
881,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\881.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.552589,True
933,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\933.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.464764,True
936,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\936.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.432272,True
960,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\960.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.701716,True
963,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\963.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.511885,True
969,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\969.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.415260,True
981,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\981.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.729201,True
1029,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1029.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.412989,True
1092,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1092.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.445771,True
1111,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1111.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.426789,True
1163,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1163.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.250292,True
1180,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1180.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.543283,True
1188,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1188.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.276286,True
1190,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1190.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.408164,True
1199,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1199.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.371866,True
1210,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1210.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.459626,True
1255,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1255.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.256479,True
1260,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1260.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.322849,True
1303,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1303.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.531651,True
1306,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1306.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.558167,True
1318,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1318.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.403520,True
1322,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1322.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.328896,True
1346,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1346.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.768712,True
1398,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1398.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.550067,True
1427,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1427.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.557794,True
1498,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1498.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.426137,True
1516,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1516.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.395186,True
1574,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1574.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.654519,True
1610,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1610.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.376918,True
1632,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1632.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.427509,True
1662,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1662.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.528431,True
1684,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1684.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.622133,True
1750,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1750.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.546245,True
1761,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1761.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.556172,True
1771,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1771.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.485637,True
1794,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1794.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.441043,True
1814,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1814.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.492902,True
1833,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1833.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.355757,True
1868,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1868.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.443159,True
1875,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1875.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.343565,True
1925,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1925.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.452515,True
1959,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1959.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.591840,True
2030,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2030.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.532972,True
2065,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2065.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.457969,True
2077,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2077.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.737094,True
2080,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2080.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.374106,True
2094,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2094.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.396308,True
2106,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2106.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.439308,True
2110,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2110.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.435731,True
2117,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2117.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.769984,True
2146,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2146.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.335762,True
2150,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2150.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.415983,True
2163,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2163.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.512362,True
2239,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2239.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.773902,True
2282,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2282.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.483832,True
2289,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2289.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.552127,True
2292,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2292.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.454194,True
2318,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2318.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.506489,True
2353,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2353.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.600045,True
2357,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2357.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.572177,True
2379,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2379.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.531900,True
2394,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2394.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.415389,True
2455,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2455.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.597962,True
2470,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2470.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.493007,True
2492,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2492.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.562631,True
2570,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2570.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.393434,True
2580,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2580.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.562487,True
2599,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2599.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.298911,True
2609,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2609.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.495784,True
2652,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2652.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.544244,True
2707,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2707.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.531271,True
